CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
678446775,04/28/2016,23:40:00,04/28/2016,23:45:00,102,04/29/2016,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,NA,1021338,190184,18-24,BLACK,M,,40.688618429,-73.866268106,"(40.688618429, -73.866268106)",PATROL BORO QUEENS SOUTH,,18-24,WHITE HISPANIC,M
166509037,06/04/2016,11:00:00,06/04/2016,11:20:00,103,06/04/2016,105,ROBBERY,389,"ROBBERY,DWELLING",COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,NA,1042569,198302,25-44,WHITE HISPANIC,M,,40.710785956,-73.789642494,"(40.710785956, -73.789642494)",PATROL BORO QUEENS SOUTH,,18-24,BLACK,F
775550518,08/15/2016,03:50:00,08/15/2016,03:50:00,110,08/15/2016,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",ATTEMPTED,FELONY,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,NA,1018634,211991,,,,,40.748484269,-73.875906888,"(40.748484269, -73.875906888)",PATROL BORO QUEENS NORTH,,25-44,WHITE HISPANIC,M
894215355,03/18/2016,07:38:00,,,105,03/18/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,QUEENS,INSIDE,OTHER,N.Y. POLICE DEPT,0,,,NA,1051331,181699,<18,BLACK,M,,40.665152605,-73.75820307,"(40.665152605, -73.75820307)",PATROL BORO QUEENS SOUTH,,<18,BLACK,M
211563429,12/20/2016,22:00:00,12/20/2016,22:30:00,115,12/21/2016,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",ATTEMPTED,FELONY,QUEENS,,STREET,N.Y. POLICE DEPT,0,,,NA,1014205,214316,UNKNOWN,WHITE HISPANIC,M,,40.754881914,-73.891881123,"(40.754881914, -73.891881123)",PATROL BORO QUEENS NORTH,,45-64,WHITE HISPANIC,M
438075827,07/04/2016,01:15:00,,,113,07/04/2016,105,ROBBERY,382,"ROBBERY,NECKCHAIN/JEWELRY",COMPLETED,FELONY,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,NA,1053552,195394,UNKNOWN,BLACK,F,,40.702725005,-73.750056503,"(40.702725005, -73.750056503)",PATROL BORO QUEENS SOUTH,,25-44,BLACK,M
984755215,07/20/2016,06:40:00,09/20/2016,07:00:00,115,09/20/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,QUEENS,,STREET,N.Y. POLICE DEPT,0,,,NA,1019137,212847,UNKNOWN,WHITE HISPANIC,M,,40.750831801,-73.874087084,"(40.750831801, -73.874087084)",PATROL BORO QUEENS NORTH,,18-24,WHITE HISPANIC,F
511598052,06/19/2016,03:30:00,06/19/2016,03:50:00,115,06/19/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,NA,1023267,215179,UNKNOWN,UNKNOWN,M,,40.757215285,-73.859167556,"(40.757215285, -73.859167556)",PATROL BORO QUEENS NORTH,,25-44,WHITE HISPANIC,M
184912399,02/01/2016,07:00:00,02/01/2016,07:15:00,103,02/01/2016,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,QUEENS,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,NA,1050616,201533,UNKNOWN,BLACK,M,,40.719597547,-73.760584929,"(40.719597547, -73.760584929)",PATROL BORO QUEENS SOUTH,,25-44,ASIAN / PACIFIC ISLANDER,M
650856808,11/07/2016,19:00:00,11/07/2016,19:20:00,103,11/07/2016,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,QUEENS,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,,,33201,1042114,191592,UNKNOWN,UNKNOWN,U,,40.692371613,-73.791341343,"(40.692371613, -73.791341343)",PATROL BORO QUEENS SOUTH,,18-24,BLACK,M
